Store,Country,Region,Order_Date,Item,Salesperson,List Price,Actual Price,Discount %
Moscow,Russia,EMEA,10-06-2018,Microwave,May Wilmot,80,79,1.25%
Toronto,Canada,NA,23-04-2015,Microwave,David Shiner,80,54,32.50%
Sao Paolo,Brazil,LATAM,04-03-2017,Air conditioner,Gary Reynolds,700,686,2.00%
Istanbul,Turkey,EMEA,14-08-2018,Ceiling fan,Mark Buntain,150,137,8.67%
Sydney,Australia,APAC,03-03-2015,Toaster,Christine Davies,50,37,26.00%
Shenzhen,China,APAC,25-04-2016,Iron,Gary Shaw,30,29,3.33%
Lima,Peru,LATAM,06-06-2016,Dishwasher,Christopher Cresswell,500,465,7.00%
Tijuana,Mexico,LATAM,06-07-2016,Iron,Gillian Allnutt,30,28,6.67%
London,UK,EMEA,12-11-2015,Washing Machine,Francis Godden,800,760,5.00%
Lima,Peru,LATAM,09-07-2014,Iron,Christopher Cresswell,30,28,6.67%
Riyadh,Saudi Arabia,EMEA,10-07-2017,Refrigerator,Danny Brooks,1000,500,50.00%
Bangkok,Thailand,APAC,21-08-2014,Air conditioner,John Jenkins,700,679,3.00%
Tijuana,Mexico,LATAM,03-09-2015,Iron,Richard Allnutt,30,28,6.67%
Delhi,India,APAC,30-05-2014,Oven,Tessa Morrow,500,490,2.00%
Sydney,Australia,APAC,11-12-2018,Washing Machine,James Ricketts,800,672,16.00%
Ho Chi Minh City,Vietnam,APAC,24-05-2015,Microwave,Susan Dixon,80,78,2.50%
Tel Aviv,Israel,EMEA,12-06-2014,Refrigerator,Thomas Gordon,1000,620,38.00%
Athens,Greece,EMEA,07-11-2017,Oven,David Walker,500,500,0.00%
Toronto,Canada,NA,03-11-2014,Ceiling fan,Robin Hall,150,150,0.00%
Osaka,Japan,APAC,23-07-2016,Refrigerator,Kenneth Walter,1000,950,5.00%
Prague,Czech Republic,EMEA,28-09-2017,Washing Machine,Edward Khan,800,736,8.00%
Capetown,South Africa,EMEA,17-04-2015,Iron,Nicholas Holloway,30,22,26.67%
Bangalore,India,APAC,13-11-2018,Coffee grinder,Delia Muhammad,70,67,4.29%
Seattle,USA,NA,13-02-2018,Iron,Lesleyann Pope,30,27,10.00%
Jerusalem,Israel,EMEA,20-02-2018,Oven,Susan Carley,500,495,1.00%
Birmingham,UK,EMEA,22-03-2016,Vacuum Cleaner,Damien Smith,250,238,4.80%
Seoul,South Korea,APAC,07-02-2017,Vacuum Cleaner,Steven Wood,250,240,4.00%
Toronto,Canada,NA,23-01-2016,Blender,David Shiner,50,43,14.00%
Guangzhou,China,APAC,28-10-2015,Oven,Glenys Wright,500,495,1.00%
Berlin,Germany,EMEA,14-12-2017,Coffee grinder,Kate Pearce,70,64,8.57%
Kansas City,USA,NA,10-07-2014,Ceiling fan,Robert Arnold,150,138,8.00%
Tokyo,Japan,APAC,19-10-2014,Ceiling fan,David Gow,150,117,22.00%
Moscow,Russia,EMEA,19-10-2014,Refrigerator,Darren Brooks,1000,910,9.00%
Capetown,South Africa,EMEA,13-12-2018,Washing Machine,Nicholas Holloway,800,584,27.00%
Bangkok,Thailand,APAC,13-10-2015,Microwave,Mayank Ali,80,77,3.75%
Delhi,India,APAC,23-11-2018,Oven,Glen Campbell,500,500,0.00%
Sao Paolo,Brazil,LATAM,31-07-2016,Ceiling fan,Stephen Smith,150,146,2.67%
Paris,France,EMEA,30-11-2015,Dishwasher,Caroline Eccles,500,460,8.00%
Rome,Italy,EMEA,15-08-2018,Blender,Steven Bell,50,43,14.00%
Los Angeles,USA,NA,15-09-2017,Microwave,Colin Matthews,80,72,10.00%
New York,USA,NA,20-07-2017,Microwave,Stephen Cohen,80,75,6.25%
Sydney,Australia,APAC,30-10-2016,Iron,William Martin,30,26,13.33%
Ho Chi Minh City,Vietnam,APAC,25-03-2018,Iron,Michael Bell,30,26,13.33%
Shenzhen,China,APAC,27-07-2017,Washing Machine,Roger Rust,800,640,20.00%
Athens,Greece,EMEA,16-11-2016,Washing Machine,Richard Perrott,800,520,35.00%
Birmingham,UK,EMEA,20-01-2018,Vacuum Cleaner,Robert Reed,250,220,12.00%
Warsaw,Poland,EMEA,02-03-2015,Air conditioner,Hin Bragg,700,434,38.00%
Amsterdam,Netherlands,EMEA,11-02-2015,Microwave,Allyson Rush,80,50,37.50%
Toronto,Canada,NA,06-09-2017,Vacuum Cleaner,Stephen James,250,238,4.80%
Prague,Czech Republic,EMEA,24-10-2017,Ceiling fan,Christopher Martin,150,140,6.67%
San Fransisco,USA,NA,21-11-2015,Refrigerator,James Scott,1000,740,26.00%
Rome,Italy,EMEA,09-06-2014,Iron,Elaine Whitfield,30,25,16.67%
Dublin,Ireland,EMEA,23-10-2017,Air conditioner,James Carley,700,665,5.00%
Bangalore,India,APAC,15-07-2014,Dishwasher,Francis Walsh,500,425,15.00%
Moscow,Russia,EMEA,16-09-2014,Microwave,Rita Hill,80,78,2.50%
Tel Aviv,Israel,EMEA,10-05-2015,Blender,Deanna Wang,50,39,22.00%
Sydney,Australia,APAC,20-07-2016,Iron,James White,30,27,10.00%
Osaka,Japan,APAC,26-03-2018,Coffee grinder,Jill Thompson,70,64,8.57%
Lima,Peru,LATAM,23-06-2014,Toaster,Cheryl Glover,50,36,28.00%
San Fransisco,USA,NA,30-08-2018,Blender,Gillan Clark,50,43,14.00%
Bogota,Columbia,LATAM,01-04-2018,Air conditioner,Antony Westlake,700,693,1.00%
Warsaw,Poland,EMEA,24-05-2014,Refrigerator,Hin Bragg,1000,810,19.00%
Berlin,Germany,EMEA,03-07-2015,Iron,James Whitehead,30,24,20.00%
Kansas City,USA,NA,17-02-2017,Washing Machine,Christina Pedley,800,648,19.00%
Shenzhen,China,APAC,16-03-2014,Refrigerator,Ronald Butler,1000,990,1.00%
Prague,Czech Republic,EMEA,23-04-2017,Washing Machine,David Stewart,800,720,10.00%
Shenzhen,China,APAC,04-12-2014,Toaster,Gary Shaw,50,39,22.00%
Amsterdam,Netherlands,EMEA,10-12-2016,Ceiling fan,Donald Barratt,150,144,4.00%
Shanghai,China,APAC,15-09-2016,Air conditioner,Wolf Christian,700,693,1.00%
Mexico City,Mexico,LATAM,26-07-2018,Toaster,Brendon Dyer,50,45,10.00%
Buenos Aires,Argentina,LATAM,01-10-2018,Refrigerator,Stuart Brown,1000,570,43.00%
Shanghai,China,APAC,19-02-2014,Blender,Alen Dinan,50,40,20.00%
Berlin,Germany,EMEA,17-11-2017,Washing Machine,Jacqueline Clamp,800,608,24.00%
Birmingham,UK,EMEA,17-07-2016,Microwave,Susan Reay,80,76,5.00%
Dublin,Ireland,EMEA,29-04-2017,Air conditioner,Andrew Phillips,700,679,3.00%
Seattle,USA,NA,15-08-2014,Microwave,Alan Davie,80,58,27.50%
Madria,Spain,EMEA,14-03-2018,Iron,Penelope Freeland,30,26,13.33%
Shanghai,China,APAC,06-10-2017,Ceiling fan,Michelle Murray,150,140,6.67%
Bangalore,India,APAC,31-08-2016,Oven,Paul Rule,500,490,2.00%
Istanbul,Turkey,EMEA,23-08-2015,Vacuum Cleaner,Ian McCartan,250,155,38.00%
Bogota,Columbia,LATAM,24-08-2015,Coffee grinder,Shelley Mannix,70,48,31.43%
Lima,Peru,LATAM,11-04-2018,Coffee grinder,Janet Ford,70,69,1.43%
Vienna,Austria,EMEA,16-12-2017,Toaster,Janet Ward,50,47,6.00%
Sao Paolo,Brazil,LATAM,25-11-2014,Vacuum Cleaner,Gary Reynolds,250,195,22.00%
Shanghai,China,APAC,07-12-2018,Washing Machine,Craig Johnson,800,512,36.00%
Shanghai,China,APAC,16-03-2018,Microwave,Christopher Snape,80,79,1.25%
Cairo,Egypt,EMEA,14-06-2015,Coffee grinder,John Barnett,70,50,28.57%
Kansas City,USA,NA,15-07-2014,Ceiling fan,Robert Jenkins,150,150,0.00%
Kuala Lumpur,Malaysia,APAC,22-04-2016,Coffee grinder,Trudi Griffin,70,64,8.57%
Warsaw,Poland,EMEA,03-03-2015,Toaster,Valerie Brown,50,46,8.00%
Moscow,Russia,EMEA,20-11-2014,Refrigerator,Dermot Bailey,1000,880,12.00%
Buenos Aires,Argentina,LATAM,01-03-2014,Washing Machine,Abdul Heywood,800,712,11.00%
Bangkok,Thailand,APAC,15-07-2017,Refrigerator,Mary Mitchell,1000,740,26.00%
Tel Aviv,Israel,EMEA,15-02-2015,Blender,Richard McGrath,50,35,30.00%
Prague,Czech Republic,EMEA,27-11-2017,Washing Machine,Edward Khan,800,704,12.00%
Osaka,Japan,APAC,08-04-2018,Refrigerator,Neil McAvoy,1000,930,7.00%
Madria,Spain,EMEA,30-06-2017,Dishwasher,Howard Jones,500,455,9.00%
Chicago,USA,NA,29-10-2014,Air conditioner,Heather McGill,700,700,0.00%
Kuala Lumpur,Malaysia,APAC,11-12-2016,Microwave,Trudi Griffin,80,77,3.75%
Moscow,Russia,EMEA,27-04-2018,Iron,Alexander Hillier,30,29,3.33%
Jerusalem,Israel,EMEA,05-04-2017,Blender,Fiona Johnson,50,50,0.00%
Moscow,Russia,EMEA,17-04-2018,Air conditioner,Rita Hill,700,679,3.00%
Shenzhen,China,APAC,13-07-2014,Blender,Gary Shaw,50,45,10.00%
Bangkok,Thailand,APAC,17-03-2016,Iron,Stephen Burch,30,30,0.00%
Lima,Peru,LATAM,24-07-2018,Iron,Claire Storey,30,30,0.00%
Berlin,Germany,EMEA,18-11-2015,Microwave,James Whitehead,80,62,22.50%
New York,USA,NA,22-09-2014,Microwave,Barbara Turner,80,76,5.00%
Rome,Italy,EMEA,30-01-2017,Toaster,Audrey Kane,50,45,10.00%
Cairo,Egypt,EMEA,09-05-2015,Refrigerator,Robert Payne,1000,610,39.00%
Sao Paolo,Brazil,LATAM,17-10-2015,Coffee grinder,Cheryl Tubbs,70,67,4.29%
Riyadh,Saudi Arabia,EMEA,10-04-2017,Coffee grinder,Victoria Sherwin,70,68,2.86%
Cairo,Egypt,EMEA,16-10-2017,Toaster,Marek Kwiatkowski,50,50,0.00%
Berlin,Germany,EMEA,21-07-2014,Oven,Kate Pearce,500,495,1.00%
Ho Chi Minh City,Vietnam,APAC,07-09-2014,Coffee grinder,Ken Rogerson,70,62,11.43%
Amsterdam,Netherlands,EMEA,04-11-2017,Oven,Danny Grant,500,490,2.00%
Lima,Peru,LATAM,11-03-2017,Microwave,Jacqueline Swaine,80,73,8.75%
Istanbul,Turkey,EMEA,11-01-2016,Air conditioner,Mark Buntain,700,616,12.00%
Bucharest,Romania,EMEA,12-12-2016,Iron,Constance Tidey,30,30,0.00%
Delhi,India,APAC,16-11-2015,Iron,Roy Johnson,30,23,23.33%
Kansas City,USA,NA,19-09-2015,Toaster,Christina Pedley,50,36,28.00%
Madria,Spain,EMEA,17-04-2014,Oven,Barrie Murray,500,490,2.00%
Prague,Czech Republic,EMEA,10-09-2014,Washing Machine,Andrew Waddell,800,672,16.00%
Istanbul,Turkey,EMEA,02-11-2017,Oven,Richard Barr,500,490,2.00%
Kuala Lumpur,Malaysia,APAC,15-03-2016,Ceiling fan,Ian Baker,150,140,6.67%
San Fransisco,USA,NA,19-01-2018,Oven,Gillan Clark,500,495,1.00%
Athens,Greece,EMEA,28-04-2018,Ceiling fan,Sarah Chadwick,150,150,0.00%
Birmingham,UK,EMEA,13-03-2014,Iron,Robert Reed,30,29,3.33%
San Fransisco,USA,NA,28-08-2015,Oven,James Scott,500,500,0.00%
